,YEAR,ALARM_DATE,GIS_ACRES,CAUSE,MONTH,DAY,MONTH_NAME
1135,2006,2006-06-26 00:00:00,130.0214,1 - Lightning,6,177,Jun
1946,2016,2016-06-26 00:00:00,1000.718,1 - Lightning,6,178,Jun
144,2017,2017-06-27 00:00:00,669.2087,7 - Arson,6,178,Jun
1158,2006,2006-06-27 00:00:00,225.1383,1 - Lightning,6,178,Jun
1605,2011,2011-06-27 00:00:00,144.9671,11 - Powerline,6,178,Jun
1151,2006,2006-06-27 00:00:00,233.436,10 - Vehicle,6,178,Jun
120,2017,2017-06-27 00:00:00,107.2538,9 - Miscellaneous,6,178,Jun
1308,2008,2008-06-26 00:00:00,2095.894,1 - Lightning,6,178,Jun
359,1916,1916-06-26 00:00:00,139.3635,14 - Unknown / Unidentified,6,178,Jun
1627,2011,2011-06-27 00:00:00,1129.855,2 - Equipment Use,6,178,Jun
1256,2007,2007-06-28 00:00:00,456.7993,2 - Equipment Use,6,179,Jun
